id,name,nationality,income,debtRatio,creditScore,loanAmount,gender,age,riskProbability,decision
LENDING-21682,"Sarah Wilson",Japan,71071,0.2608,731,32821,Other,57,0.2725,Approve
LENDING-21683,"Thomas Jones",United States,34819,0.4717,653,17404,Male,75,0.4390,Reject
LENDING-21684,"Jessica Davis",France,20626,0.2995,693,5041,Other,30,0.3508,Approve
LENDING-21685,"Charles Williams",France,37481,0.2094,809,11843,Other,72,0.1888,Approve
LENDING-21686,"William Martinez",Singapore,68056,0.0690,772,33827,Male,29,0.1718,Approve
LENDING-21687,"William Williams",United States,19169,0.3507,650,8568,Male,42,0.4138,Reject
LENDING-21688,"Charles Smith",Singapore,15300,0.4053,694,6135,Male,43,0.3841,Approve
LENDING-21689,"Robert Smith",Japan,25333,0.5091,633,5000,Male,50,0.4768,Reject
LENDING-21690,"Thomas Anderson",Germany,35031,0.1579,619,13220,Other,60,0.3819,Reject
LENDING-21691,"Elizabeth Brown",Singapore,40913,0.1659,608,17006,Other,71,0.3933,Reject
LENDING-21692,"Elizabeth Jackson",Germany,20963,0.2669,644,7436,Other,25,0.3943,Reject
LENDING-21693,"William Brown",United States,22227,0.3304,850,7432,Other,56,0.1880,Approve
LENDING-21694,"Linda Anderson",France,22338,0.2933,701,9051,Male,66,0.3394,Approve
LENDING-21695,"Patricia Jackson",France,61279,0.1478,681,21534,Male,39,0.2981,Approve
LENDING-21696,"Susan Hernandez",France,91769,0.4193,850,36720,Female,73,0.1799,Approve
LENDING-21697,"Patricia Rodriguez",Australia,31894,0.2770,753,10026,Other,55,0.2730,Approve
LENDING-21698,"Elizabeth Smith",Singapore,36010,0.0806,740,17913,Female,72,0.2262,Approve
LENDING-21699,"Thomas Davis",Singapore,34602,0.3554,612,10523,Male,31,0.4490,Reject
LENDING-21700,"Charles Jackson",Japan,34194,0.2244,762,14158,Female,71,0.2462,Approve
LENDING-21701,"Elizabeth Taylor",Singapore,33458,0.2099,766,8238,Male,28,0.2379,Approve
LENDING-21702,"William Garcia",Singapore,64312,0.1881,676,9882,Male,57,0.3141,Approve
LENDING-21703,"Jessica Rodriguez",United Kingdom,26145,0.0054,700,9765,Female,69,0.2522,Approve
LENDING-21704,"James Williams",Canada,90436,0.3849,787,13081,Male,77,0.2390,Approve
LENDING-21705,"James Smith",Canada,35111,0.1492,707,7791,Other,29,0.2832,Approve
LENDING-21706,"John Williams",France,27079,0.1293,754,12007,Female,50,0.2300,Approve
LENDING-21707,"Jennifer Martin",France,27733,0.1809,848,6781,Female,63,0.1426,Approve
LENDING-21708,"Jessica Thomas",Australia,43879,0.4539,793,15179,Female,71,0.2764,Approve
LENDING-21709,"John Gonzalez",Germany,9790,0.3207,846,5000,Male,73,0.1957,Approve
LENDING-21710,"Susan Brown",France,44963,0.0432,630,12324,Female,75,0.3305,Reject
LENDING-21711,"Thomas Jones",United Kingdom,30651,0.1974,652,15248,Female,61,0.3599,Reject
LENDING-21712,"Jennifer Martinez",Germany,56157,0.2555,691,13135,Other,59,0.3220,Approve
LENDING-21713,"William Johnson",Singapore,13652,0.6243,738,5000,Male,40,0.4026,Reject
LENDING-21714,"Joseph Taylor",Australia,42148,0.4790,829,9139,Female,21,0.2455,Approve
LENDING-21715,"Jessica Johnson",Japan,64231,0.0303,703,11729,Other,39,0.2373,Approve
LENDING-21716,"William Anderson",Singapore,54835,0.2657,651,13282,Female,48,0.3694,Reject
LENDING-21717,"Jessica Moore",Canada,32802,0.2460,731,7403,Other,26,0.2872,Approve
LENDING-21718,"Susan Miller",Singapore,55555,0.2658,805,24186,Other,68,0.2011,Approve
LENDING-21719,"Michael Smith",United Kingdom,25102,0.2967,723,7989,Other,61,0.3150,Approve
LENDING-21720,"John Miller",Australia,34223,0.1914,685,11433,Other,47,0.3203,Approve
LENDING-21721,"Charles Miller",France,49769,0.4886,554,23371,Female,24,0.5446,Reject
LENDING-21722,"Barbara Smith",United States,18358,0.4671,698,5000,Other,20,0.3968,Reject
LENDING-21723,"Richard Williams",Germany,50860,0.2835,839,21847,Male,53,0.1716,Approve
LENDING-21724,"Susan Brown",United States,54945,0.3461,776,25243,Other,62,0.2571,Approve
LENDING-21725,"Joseph Martinez",Singapore,29880,0.1796,682,11023,Female,52,0.3222,Approve
LENDING-21726,"Jessica Taylor",Canada,40630,0.3248,696,18031,Other,54,0.3451,Approve
LENDING-21727,"Karen Hernandez",Canada,22094,0.6128,613,8409,Female,20,0.5313,Reject
LENDING-21728,"Susan Wilson",United Kingdom,75350,0.0659,734,14087,Female,63,0.2086,Approve
LENDING-21729,"James Williams",Germany,56962,0.1583,747,7750,Male,53,0.2314,Approve
LENDING-21730,"Jessica Rodriguez",France,24409,0.2324,614,5000,Male,39,0.4150,Reject
LENDING-21731,"Michael Jackson",Canada,45472,0.0879,621,12795,Male,25,0.3535,Reject
LENDING-21732,"David Martin",Singapore,24804,0.1533,825,5000,Other,72,0.1609,Approve
LENDING-21733,"Jennifer Johnson",Canada,122928,0.2223,706,60825,Female,37,0.2623,Approve
LENDING-21734,"Robert Taylor",Australia,29023,0.1165,727,5000,Other,36,0.2546,Approve
LENDING-21735,"Joseph Moore",Singapore,52882,0.3470,707,8855,Other,24,0.3337,Approve
LENDING-21736,"Richard Anderson",Japan,38784,0.1904,723,16377,Other,67,0.2763,Approve
LENDING-21737,"Robert Martin",United States,14065,0.5898,743,5296,Other,38,0.3866,Reject
LENDING-21738,"Robert Wilson",Australia,25871,0.4539,653,5000,Female,31,0.4381,Reject
LENDING-21739,"Joseph Johnson",Australia,24546,0.1754,682,8177,Female,62,0.3236,Approve
LENDING-21740,"Susan Rodriguez",United States,39589,0.2293,760,11768,Other,20,0.2472,Approve
LENDING-21741,"Robert Jackson",Singapore,46862,0.4270,729,7994,Female,30,0.3367,Approve
LENDING-21742,"Thomas Hernandez",Singapore,60606,0.2046,610,17928,Other,48,0.3929,Reject
LENDING-21743,"Karen Wilson",Singapore,58106,0.1405,768,14440,Male,71,0.2026,Approve
LENDING-21744,"Barbara Johnson",Germany,41124,0.2553,668,16445,Other,70,0.3546,Approve
LENDING-21745,"Michael Gonzalez",Australia,32222,0.0898,717,14176,Female,75,0.2559,Approve
LENDING-21746,"Susan Martin",Australia,57337,0.2087,568,13506,Other,64,0.4416,Reject
LENDING-21747,"William Anderson",Canada,54871,0.0610,616,17047,Male,55,0.3461,Reject
LENDING-21748,"Karen Moore",Canada,28883,0.2211,511,9685,Female,75,0.5217,Reject
LENDING-21749,"Charles Lopez",Australia,23563,0.0362,632,11621,Female,64,0.3369,Reject
LENDING-21750,"Mary Smith",Singapore,22437,0.2289,754,11128,Male,72,0.2622,Approve
LENDING-21751,"Barbara Anderson",Canada,35275,0.2118,697,7223,Female,18,0.3128,Approve
LENDING-21752,"David Jackson",Canada,41163,0.2968,837,9278,Female,44,0.1826,Approve
LENDING-21753,"Mary Hernandez",Australia,21632,0.0425,610,7497,Female,69,0.3638,Reject
LENDING-21754,"Karen Moore",Canada,49791,0.3930,714,9804,Male,36,0.3414,Approve
LENDING-21755,"Charles Hernandez",Canada,70031,0.4428,850,7424,Male,67,0.1978,Approve
LENDING-21756,"William Gonzalez",Canada,37275,0.3588,850,7482,Female,55,0.1890,Approve
LENDING-21757,"Mary Thomas",United Kingdom,13950,0.0619,849,5849,Other,74,0.1127,Approve
LENDING-21758,"Patricia Thomas",Singapore,29919,0.4744,642,14312,Other,58,0.4543,Reject
LENDING-21759,"Susan Brown",Singapore,52914,0.2247,769,22482,Female,60,0.2293,Approve
LENDING-21760,"Linda Brown",Germany,39519,0.3522,605,16796,Other,33,0.4532,Reject
LENDING-21761,"Jessica Anderson",Germany,20194,0.3641,666,5551,Male,19,0.3999,Approve
LENDING-21762,"John Gonzalez",United Kingdom,31147,0.2475,619,10522,Other,32,0.4107,Reject
LENDING-21763,"Jennifer Thomas",Japan,34079,0.5334,650,11052,Male,23,0.4612,Reject
LENDING-21764,"Joseph Moore",United States,27944,0.0769,833,12116,Other,19,0.1276,Approve
LENDING-21765,"Barbara Wilson",France,43196,0.2604,739,14955,Male,39,0.2776,Approve
LENDING-21766,"Mary Johnson",United Kingdom,47313,0.3192,571,8450,Other,32,0.4765,Reject
LENDING-21767,"Barbara Johnson",Singapore,39793,0.2225,708,17269,Male,47,0.3018,Approve
LENDING-21768,"Jessica Johnson",United Kingdom,19726,0.2522,734,5000,Other,68,0.2923,Approve
LENDING-21769,"James Hernandez",France,31567,0.2968,723,8513,Other,21,0.3118,Approve
LENDING-21770,"Sarah Gonzalez",Canada,85692,0.7364,788,22808,Female,33,0.3457,Reject
LENDING-21771,"Mary Lopez",United States,49699,0.7580,767,5826,Other,73,0.3931,Reject
LENDING-21772,"Mary Rodriguez",Germany,31205,0.1749,745,8855,Female,24,0.2514,Approve
LENDING-21773,"Linda Gonzalez",Australia,175550,0.1742,660,69032,Male,45,0.2718,Approve
LENDING-21774,"Mary Rodriguez",Singapore,51883,0.4100,829,22056,Male,52,0.2200,Approve
LENDING-21775,"Joseph Hernandez",Japan,12251,0.1600,652,5000,Female,30,0.3579,Reject
LENDING-21776,"Elizabeth Rodriguez",United States,43384,0.0078,767,19494,Female,54,0.1712,Approve
LENDING-21777,"Patricia Rodriguez",United States,39001,0.1550,691,10782,Male,65,0.3005,Approve
LENDING-21778,"Richard Taylor",Germany,25041,0.5463,847,7815,Male,20,0.2546,Reject
LENDING-21779,"David Johnson",Canada,51064,0.3169,704,25342,Other,23,0.3288,Approve
LENDING-21780,"Sarah Johnson",United Kingdom,19162,0.2193,671,5521,Other,29,0.3515,Approve
LENDING-21781,"John Rodriguez",France,33384,0.2728,671,12864,Other,22,0.3604,Approve
LENDING-21782,"James Hernandez",France,58616,0.4191,743,11638,Female,49,0.3131,Approve
LENDING-21783,"Barbara Davis",Australia,61518,0.3072,687,19274,Other,32,0.3392,Approve
LENDING-21784,"David Miller",Germany,54002,0.1461,611,6686,Male,41,0.3776,Reject
LENDING-21785,"Jennifer Garcia",Japan,44298,0.1739,719,15576,Male,66,0.2729,Approve
LENDING-21786,"Joseph Wilson",Singapore,30386,0.1831,745,7004,Other,68,0.2543,Approve
LENDING-21787,"Susan Brown",Germany,37316,0.6507,726,13421,Female,37,0.4118,Reject
LENDING-21788,"Jennifer Taylor",Japan,21562,0.3743,781,9045,Female,20,0.2768,Approve
LENDING-21789,"Susan Moore",Japan,16454,0.4780,802,6369,Other,24,0.2875,Approve
LENDING-21790,"Jessica Thomas",France,45532,0.2392,583,17965,Male,69,0.4403,Reject
LENDING-21791,"Susan Wilson",France,29849,0.1278,823,12109,Male,58,0.1529,Approve
LENDING-21792,"Sarah Jones",United Kingdom,44359,0.1406,652,8831,Female,67,0.3360,Reject
LENDING-21793,"Jessica Martinez",United Kingdom,34328,0.2664,704,11003,Female,58,0.3220,Approve
LENDING-21794,"Thomas Davis",Japan,26425,0.1647,700,7475,Other,37,0.2998,Approve
LENDING-21795,"Sarah Davis",United States,33324,0.3133,754,13230,Male,33,0.2821,Approve
LENDING-21796,"John Garcia",United Kingdom,51799,0.2749,714,15744,Female,38,0.3049,Approve
LENDING-21797,"John Williams",Australia,44360,0.3647,705,20252,Male,46,0.3454,Approve
LENDING-21798,"Joseph Wilson",United States,49567,0.4590,708,17426,Male,18,0.3678,Reject
LENDING-21799,"Jessica Martin",United States,31541,0.1821,631,15018,Male,62,0.3778,Reject
LENDING-21800,"Thomas Gonzalez",United Kingdom,32360,0.0214,604,8107,Male,31,0.3586,Reject
LENDING-21801,"Michael Jackson",Japan,38584,0.2736,693,9531,Female,23,0.3341,Approve
LENDING-21802,"Robert Moore",France,55441,0.6612,683,12623,Other,57,0.4528,Reject
LENDING-21803,"Robert Martinez",United States,28058,0.4310,772,10838,Other,65,0.3004,Approve
LENDING-21804,"Joseph Anderson",United States,58761,0.5078,715,27960,Female,62,0.3702,Reject
LENDING-21805,"Jessica Taylor",France,34848,0.1423,700,17231,Female,49,0.2889,Approve
LENDING-21806,"Barbara Johnson",Singapore,27220,0.1566,581,11471,Male,54,0.4268,Reject
LENDING-21807,"Jessica Wilson",Singapore,22146,0.2415,772,10944,Female,38,0.2465,Approve
LENDING-21808,"Charles Rodriguez",Japan,34802,0.2406,669,6603,Female,32,0.3522,Approve
LENDING-21809,"Elizabeth Moore",United States,18745,0.2828,770,5000,Other,63,0.2627,Approve
LENDING-21810,"Charles Martin",Canada,26918,0.7810,689,5000,Female,40,0.4965,Reject
LENDING-21811,"Jennifer Hernandez",Singapore,48464,0.3068,680,15100,Male,60,0.3533,Approve
LENDING-21812,"Thomas Hernandez",Singapore,20441,0.4422,637,8773,Other,56,0.4548,Reject
LENDING-21813,"William Lopez",Canada,30776,0.0364,623,9229,Female,34,0.3432,Reject
LENDING-21814,"John Gonzalez",United Kingdom,17920,0.4013,684,5000,Other,52,0.3925,Approve
LENDING-21815,"David Smith",France,97072,0.2479,785,48479,Female,33,0.1967,Approve
LENDING-21816,"Elizabeth Rodriguez",United States,71414,0.5871,680,25630,Female,46,0.4259,Reject
LENDING-21817,"Linda Garcia",Germany,16116,0.2795,657,5000,Male,67,0.3863,Reject
LENDING-21818,"Thomas Wilson",Australia,113163,0.3158,707,49737,Male,73,0.2942,Approve
LENDING-21819,"David Brown",United States,47618,0.0223,676,17961,Female,20,0.2727,Approve
LENDING-21820,"Linda Johnson",Australia,42234,0.3901,647,17004,Female,27,0.4174,Reject
LENDING-21821,"Michael Anderson",United States,47068,0.2656,723,16657,Other,72,0.2947,Approve
LENDING-21822,"Richard Thomas",United Kingdom,41042,0.2728,710,15887,Other,60,0.3140,Approve
LENDING-21823,"Mary Rodriguez",Australia,31111,0.3448,706,13514,Male,19,0.3450,Approve
LENDING-21824,"Sarah Thomas",France,62155,0.5795,722,7327,Female,70,0.3824,Reject
LENDING-21825,"Linda Garcia",Canada,69055,0.3029,690,8403,Female,42,0.3309,Approve
LENDING-21826,"William Lopez",Germany,39063,0.2356,645,8972,Male,37,0.3748,Reject
LENDING-21827,"Sarah Jones",Germany,24529,0.0528,714,11751,Male,38,0.2519,Approve
LENDING-21828,"Linda Johnson",Australia,15746,0.3259,585,5000,Other,44,0.4790,Reject
LENDING-21829,"Michael Davis",France,28977,0.4161,552,10663,Male,51,0.5354,Reject
LENDING-21830,"Patricia Smith",France,13383,0.5008,770,5000,Male,42,0.3308,Approve
LENDING-21831,"Robert Johnson",Australia,14687,0.2661,591,7073,Female,18,0.4550,Reject
LENDING-21832,"Mary Jones",France,52582,0.1773,729,13444,Other,31,0.2589,Approve
LENDING-21833,"Patricia Anderson",France,40416,0.4983,688,7519,Other,39,0.4060,Reject
LENDING-21834,"Thomas Anderson",Singapore,32636,0.0045,751,10359,Male,36,0.1930,Approve
LENDING-21835,"William Lopez",Singapore,23480,0.0540,683,5593,Female,27,0.2866,Approve
LENDING-21836,"David Martin",United Kingdom,77354,0.2002,645,31113,Male,49,0.3450,Reject
LENDING-21837,"Jennifer Gonzalez",United States,26416,0.2360,780,5949,Female,31,0.2340,Approve
LENDING-21838,"James Martin",Canada,51923,0.0625,712,12927,Other,67,0.2433,Approve
LENDING-21839,"Sarah Miller",United States,73685,0.3148,835,9736,Female,68,0.1740,Approve
LENDING-21840,"Jennifer Davis",Japan,30376,0.3206,675,11296,Female,50,0.3719,Approve
LENDING-21841,"John Moore",Singapore,43999,0.2482,850,10156,Female,22,0.1525,Approve
LENDING-21842,"Barbara Davis",Australia,36748,0.3549,750,5000,Male,24,0.2972,Approve
LENDING-21843,"Charles Moore",Canada,17256,0.4002,762,7013,Male,65,0.3074,Approve
LENDING-21844,"Robert Garcia",Australia,20964,0.4391,591,5000,Female,53,0.5038,Reject
LENDING-21845,"Robert Gonzalez",United States,29812,0.1393,783,8835,Male,55,0.2000,Approve
LENDING-21846,"Elizabeth Anderson",France,47413,0.6885,790,7783,Other,73,0.3483,Reject
LENDING-21847,"Robert Wilson",Canada,13658,0.3826,658,5000,Male,42,0.4174,Approve
LENDING-21848,"John Wilson",France,27781,0.1708,677,10591,Other,74,0.3261,Approve
LENDING-21849,"Sarah Anderson",Singapore,35996,0.2512,745,17439,Male,63,0.2719,Approve
LENDING-21850,"James Jackson",Australia,55689,0.6757,775,21042,Other,36,0.3567,Reject
LENDING-21851,"Patricia Martinez",Germany,58631,0.2328,675,13356,Female,68,0.3314,Approve
LENDING-21852,"Patricia Martinez",Canada,22544,0.3877,731,8299,Male,53,0.3349,Approve
LENDING-21853,"David Hernandez",Germany,39393,0.5734,824,14975,Other,72,0.2807,Reject
LENDING-21854,"Patricia Martin",United Kingdom,21226,0.3124,816,10306,Female,75,0.2202,Approve
LENDING-21855,"John Thomas",United Kingdom,48816,0.1551,672,6340,Male,22,0.3163,Approve
LENDING-21856,"John Martin",France,37567,0.4681,652,15911,Male,30,0.4376,Reject
LENDING-21857,"Barbara Martin",United Kingdom,34534,0.5612,642,5940,Female,51,0.4780,Reject
LENDING-21858,"Barbara Lopez",Germany,48593,0.4643,569,23327,Other,68,0.5215,Reject
LENDING-21859,"Jennifer Martinez",Singapore,28219,0.3522,707,12980,Female,43,0.3476,Approve
LENDING-21860,"Charles Wilson",Australia,35170,0.4424,695,16727,Female,33,0.3842,Reject
LENDING-21861,"Barbara Gonzalez",Singapore,32851,0.5229,658,10924,Other,37,0.4499,Reject
LENDING-21862,"Robert Miller",Canada,34804,0.1712,700,7273,Other,40,0.2976,Approve
LENDING-21863,"Joseph Miller",United States,42573,0.5463,704,9100,Other,73,0.4019,Reject
LENDING-21864,"Karen Hernandez",Japan,29275,0.5182,662,7079,Other,23,0.4459,Reject
LENDING-21865,"Joseph Garcia",Japan,61517,0.3180,674,19882,Male,57,0.3566,Approve
LENDING-21866,"Karen Smith",Canada,23357,0.2882,621,5938,Other,62,0.4246,Reject
LENDING-21867,"Joseph Thomas",Japan,13063,0.2181,832,5000,Other,77,0.1785,Approve
LENDING-21868,"Elizabeth Garcia",Australia,27222,0.0325,710,10083,Other,70,0.2489,Approve
LENDING-21869,"Jennifer Jones",France,65953,0.2160,631,16216,Female,39,0.3707,Reject
LENDING-21870,"Linda Johnson",Germany,41940,0.3443,777,20144,Other,53,0.2620,Approve
LENDING-21871,"Richard Garcia",Singapore,52581,0.2581,816,13207,Female,54,0.1882,Approve
LENDING-21872,"Jennifer Martin",Germany,60215,0.1681,644,14086,Other,41,0.3450,Reject
LENDING-21873,"Jessica Miller",Singapore,19766,0.3292,584,5762,Other,64,0.4791,Reject
LENDING-21874,"William Martinez",France,10675,0.3450,685,5000,Female,76,0.3782,Approve
LENDING-21875,"Elizabeth Taylor",France,24261,0.3966,850,10773,Female,65,0.2068,Approve
LENDING-21876,"Robert Martin",Singapore,58223,0.6149,556,7340,Male,37,0.5761,Reject
LENDING-21877,"Mary Martin",Singapore,50820,0.3170,607,5645,Female,46,0.4348,Reject
LENDING-21878,"David Taylor",United States,43855,0.0839,792,20102,Female,64,0.1665,Approve
LENDING-21879,"Richard Brown",Singapore,14055,0.3036,702,5000,Other,70,0.3455,Approve
LENDING-21880,"John Martinez",Japan,22245,0.4439,638,5000,Other,26,0.4533,Reject
LENDING-21881,"James Martin",Canada,44492,0.1392,688,13531,Other,76,0.2962,Approve
LENDING-21882,"Linda Lopez",Germany,30121,0.0510,749,5000,Other,58,0.2104,Approve
LENDING-21883,"John Miller",Australia,48749,0.4337,645,22270,Male,32,0.4294,Reject
LENDING-21884,"Mary Gonzalez",Canada,13984,0.3042,629,6433,Male,33,0.4254,Reject
LENDING-21885,"William Gonzalez",France,25185,0.2143,791,5000,Female,38,0.2161,Approve
LENDING-21886,"Richard Rodriguez",Canada,51030,0.2756,681,22775,Male,27,0.3415,Approve
LENDING-21887,"Richard Gonzalez",Canada,59869,0.3451,653,28061,Male,19,0.3885,Reject
LENDING-21888,"Jennifer Martinez",Germany,46822,0.4313,709,15419,Male,71,0.3598,Reject
LENDING-21889,"Michael Miller",Australia,82657,0.5982,807,23722,Female,50,0.2850,Reject
LENDING-21890,"Mary Smith",Australia,32332,0.5876,736,15811,Other,25,0.3845,Reject
LENDING-21891,"Jennifer Davis",Singapore,92725,0.2331,827,38991,Female,18,0.1487,Approve
LENDING-21892,"Jessica Brown",Canada,58785,0.6749,648,20426,Male,24,0.4934,Reject
LENDING-21893,"Mary Brown",Germany,34073,0.4955,850,5000,Other,61,0.2316,Approve
LENDING-21894,"Karen Davis",Canada,60650,0.2155,717,10152,Female,53,0.2794,Approve
LENDING-21895,"James Garcia",United States,42620,0.3421,681,11234,Female,28,0.3657,Approve
LENDING-21896,"Michael Moore",Germany,58522,0.2894,719,9914,Male,37,0.3005,Approve
LENDING-21897,"Karen Johnson",France,41509,0.4495,599,16739,Male,26,0.4879,Reject
LENDING-21898,"William Davis",Germany,68067,0.1747,675,27593,Other,61,0.3093,Approve
LENDING-21899,"James Hernandez",Canada,50127,0.1126,650,22924,Female,30,0.3269,Reject
LENDING-21900,"Susan Moore",United Kingdom,25135,0.4265,601,6446,Other,58,0.4870,Reject
LENDING-21901,"Mary Martin",Germany,64578,0.4509,739,26012,Female,40,0.3241,Approve
LENDING-21902,"David Wilson",Germany,36284,0.3374,703,14252,Male,62,0.3434,Approve
LENDING-21903,"Charles Anderson",Singapore,30907,0.3893,719,9223,Female,20,0.3442,Approve
LENDING-21904,"Linda Hernandez",United Kingdom,28733,0.2180,652,9817,Other,65,0.3670,Reject
LENDING-21905,"John Davis",United States,49799,0.4223,649,21100,Male,73,0.4211,Reject
LENDING-21906,"Linda Lopez",Australia,45529,0.5175,839,10135,Female,64,0.2445,Reject
LENDING-21907,"Jessica Johnson",United Kingdom,31680,0.3259,570,12367,Male,34,0.4874,Reject
LENDING-21908,"Karen Miller",Singapore,68211,0.2795,774,28237,Other,58,0.2327,Approve
LENDING-21909,"Patricia Gonzalez",France,22738,0.0474,772,5000,Other,46,0.1879,Approve
LENDING-21910,"James Miller",Japan,25985,0.2705,683,5000,Other,55,0.3503,Approve
LENDING-21911,"Joseph Johnson",Australia,88530,0.3819,719,33688,Other,51,0.3132,Approve
LENDING-21912,"Michael Gonzalez",Australia,44407,0.3404,671,5587,Male,76,0.3752,Approve
LENDING-21913,"David Gonzalez",Canada,46488,0.2460,744,13589,Female,22,0.2662,Approve
LENDING-21914,"John Jones",Germany,33394,0.1155,712,5506,Female,60,0.2685,Approve
LENDING-21915,"John Wilson",Singapore,67552,0.3118,669,13351,Other,31,0.3572,Approve
LENDING-21916,"Patricia Moore",Singapore,75045,0.4385,576,29569,Other,51,0.4929,Reject
LENDING-21917,"Michael Brown",United States,34379,0.1717,654,5690,Other,51,0.3481,Reject
LENDING-21918,"Elizabeth Johnson",France,34955,0.3392,650,5000,Male,43,0.4025,Reject
LENDING-21919,"Richard Smith",United Kingdom,30120,0.0931,850,14293,Female,25,0.1129,Approve
LENDING-21920,"Robert Miller",Canada,16325,0.2647,711,5121,Female,23,0.3229,Approve
LENDING-21921,"Sarah Smith",Australia,45445,0.1056,692,20806,Male,22,0.2813,Approve
LENDING-21922,"Elizabeth Martin",United Kingdom,26503,0.1793,714,9087,Male,43,0.2889,Approve
LENDING-21923,"Mary Johnson",Japan,25393,0.0837,754,5000,Other,52,0.2171,Approve
LENDING-21924,"Charles Miller",United Kingdom,40796,0.4890,662,11729,Other,58,0.4314,Reject
LENDING-21925,"Charles Brown",France,39494,0.2619,563,16382,Female,45,0.4719,Reject
LENDING-21926,"Linda Garcia",Australia,29403,0.0640,664,5997,Other,68,0.3074,Approve
LENDING-21927,"Thomas Gonzalez",Germany,33033,0.3995,537,11955,Female,41,0.5448,Reject
LENDING-21928,"Linda Thomas",Germany,32352,0.1727,596,10241,Male,25,0.4127,Reject
LENDING-21929,"Richard Miller",Japan,36726,0.3943,625,5859,Female,67,0.4454,Reject
LENDING-21930,"Linda Jackson",United Kingdom,21094,0.0423,810,5000,Female,47,0.1458,Approve
LENDING-21931,"James Gonzalez",Japan,33975,0.3938,659,12715,Other,59,0.4095,Approve
LENDING-21932,"Robert Thomas",Japan,16805,0.2540,733,5000,Male,49,0.2954,Approve
LENDING-21933,"Jennifer Davis",Canada,24983,0.3329,675,7807,Male,67,0.3783,Approve
LENDING-21934,"William Taylor",Japan,50997,0.3806,629,6145,Female,70,0.4298,Reject
LENDING-21935,"Karen Davis",United Kingdom,22962,0.2906,698,5000,Male,29,0.3415,Approve
LENDING-21936,"Michael Moore",Singapore,33162,0.2939,838,5000,Female,28,0.1847,Approve
LENDING-21937,"Charles Lopez",Singapore,34995,0.1360,763,10910,Other,18,0.2182,Approve
LENDING-21938,"John Taylor",Canada,36688,0.3617,702,12536,Male,34,0.3516,Approve
LENDING-21939,"Elizabeth Jones",Singapore,43945,0.2960,526,13856,Other,68,0.5203,Reject
LENDING-21940,"Mary Johnson",United Kingdom,32365,0.4793,776,6564,Female,57,0.3083,Approve
LENDING-21941,"Patricia Rodriguez",France,16868,0.2722,573,5000,Female,56,0.4754,Reject
LENDING-21942,"Mary Moore",United States,16774,0.3982,592,5000,Male,57,0.4925,Reject
LENDING-21943,"Patricia Gonzalez",Australia,23023,0.1693,734,5000,Other,46,0.2658,Approve
LENDING-21944,"Susan Smith",United States,23520,0.4593,634,9535,Other,21,0.4617,Reject
LENDING-21945,"Elizabeth Wilson",Germany,209930,0.2602,672,47986,Other,37,0.2673,Approve
LENDING-21946,"Elizabeth Thomas",Japan,39853,0.4972,733,6462,Other,71,0.3569,Approve
LENDING-21947,"David Lopez",United Kingdom,33901,0.4788,672,12260,Male,54,0.4209,Reject
LENDING-21948,"Barbara Jones",Germany,32479,0.4840,625,7128,Female,26,0.4744,Reject
LENDING-21949,"Thomas Jackson",United Kingdom,14365,0.2058,598,5000,Other,73,0.4295,Reject
LENDING-21950,"Barbara Rodriguez",Australia,81067,0.1049,742,20697,Male,46,0.2088,Approve
LENDING-21951,"William Brown",Canada,34587,0.2277,640,12148,Male,43,0.3801,Reject
LENDING-21952,"James Moore",Singapore,56662,0.3089,662,8540,Female,57,0.3694,Approve
LENDING-21953,"Susan Lopez",Australia,23939,0.2468,608,7937,Female,59,0.4261,Reject
LENDING-21954,"James Davis",United Kingdom,34105,0.3231,730,9029,Male,59,0.3108,Approve
LENDING-21955,"Jessica Williams",France,32988,0.1732,732,5490,Other,23,0.2642,Approve
LENDING-21956,"James Wilson",Australia,76349,0.2016,672,25989,Male,74,0.3165,Approve
LENDING-21957,"Charles Moore",Singapore,17279,0.1914,579,6782,Male,69,0.4444,Reject
LENDING-21958,"Susan Jackson",United States,45176,0.1046,710,10789,Male,64,0.2615,Approve
LENDING-21959,"Thomas Wilson",France,7001,0.3398,694,5000,Male,27,0.3686,Approve
LENDING-21960,"Patricia Anderson",Japan,70871,0.1391,694,21675,Male,27,0.2765,Approve
LENDING-21961,"Elizabeth Taylor",France,17393,0.1541,743,5000,Other,25,0.2543,Approve
LENDING-21962,"Mary Moore",United Kingdom,25317,0.6485,704,7560,Other,36,0.4412,Reject
LENDING-21963,"Elizabeth Jackson",Germany,35257,0.3086,706,6313,Male,47,0.3320,Approve
LENDING-21964,"John Anderson",Germany,59155,0.4568,709,10140,Female,40,0.3613,Reject
LENDING-21965,"Sarah Moore",Australia,30471,0.2229,766,12937,Male,37,0.2433,Approve
LENDING-21966,"Mary Davis",Germany,36557,0.1963,680,10345,Male,74,0.3261,Approve
LENDING-21967,"Thomas Jackson",Japan,42989,0.4262,723,16387,Male,36,0.3449,Approve
LENDING-21968,"Linda Davis",Germany,49804,0.3693,812,13433,Female,28,0.2273,Approve
LENDING-21969,"William Garcia",Japan,24588,0.4144,796,5000,Male,28,0.2709,Approve
LENDING-21970,"John Williams",United States,19434,0.4187,728,7782,Female,54,0.3490,Approve
LENDING-21971,"Linda Williams",Singapore,19383,0.2660,803,5000,Female,49,0.2214,Approve
